,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit,query_genre
606,Hot Summer,BOYS PLANET - FINAL TOP9 BATTLE,https://open.spotify.com/album/5F3uLyGvCV3QINuGZkdOfS,BOYS PLANET,68,2023-04-21,https://open.spotify.com/track/4eSaL5oRwSHcMGvmIrgYzP,226840,False,k-pop
607,うっせぇわ,うっせぇわ,https://open.spotify.com/album/5msh7Lspyh1jGbDM2BxwAy,Ado,68,2020-10-23,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,204920,False,japanese
608,daisy.,daisy.,https://open.spotify.com/album/7kbMCxBkRLj9aY7aFpf9XS,wave to earth,68,2021-05-13,https://open.spotify.com/track/6TRPSdNLeh5BZdsi9FdfNR,218500,False,k-pop
609,烏梅子醬,縱橫四海,https://open.spotify.com/album/2FbkaXZl2bM5YU7sZYkL6Q,Ronghao Li,68,2022-12-21,https://open.spotify.com/track/4p9jbhD6N7HpuECGusu6iT,257251,False,chinese
610,DRUM GO DUM,ALL OUT,https://open.spotify.com/album/26IdRjba8f8DNa7c0FwfQb,K/DA,68,2020-11-06,https://open.spotify.com/track/2JV5OBqTMW1F6PYOGZJatP,200914,False,k-pop
611,grace,grace,https://open.spotify.com/album/0i6jJH5oVQh0KL8INSSPpu,Fujii Kaze,68,2022-10-09,https://open.spotify.com/track/7tnYsRepXLaNhqj4xtcWP2,289541,False,japanese
612,海のまにまに,海のまにまに,https://open.spotify.com/album/6M4p4S5t8PuRZiq7zvMEPB,YOASOBI,68,2022-11-18,https://open.spotify.com/track/0loZ1KfQSLJxYR0Y7dImKN,255918,False,japanese
613,あの夢をなぞって,あの夢をなぞって,https://open.spotify.com/album/6VtHuuDn351LBXwpxmvZqt,YOASOBI,68,2020-01-18,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN,242666,False,j-pop
614,第ゼロ感,第ゼロ感,https://open.spotify.com/album/7hUGSAApToftQu366lqPVf,10-FEET,68,2022-11-08,https://open.spotify.com/track/3GGOKTfxgyluPvAFnB30zE,287991,False,japanese
615,Plastic Love,Expressions,https://open.spotify.com/album/3lBX7AtzE4JoZaAIBLptRx,Mariya Takeuchi,68,2008-05-21,https://open.spotify.com/track/7rU6Iebxzlvqy5t857bKFq,294493,False,k-pop
616,ねぇ,ねぇ,https://open.spotify.com/album/0LA32zD1z0qow1CiuBXTlR,YOAKE,68,2022-04-29,https://open.spotify.com/track/4OL2UHjasZp21Z1c2htqPj,200701,False,japanese
617,ビリミリオン,ビリミリオン,https://open.spotify.com/album/3dsbKkYZTyhuN3W3aSBHcu,Yuuri,68,2023-01-19,https://open.spotify.com/track/7KExqPOvjFzAI4d49mQxt9,226627,False,japanese
618,Flash Forward,UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,68,2023-05-01,https://open.spotify.com/track/74cpuIw43kA8xPgbQEPdss,195512,False,k-pop
619,Obsession,OBSESSION – The 6th Album,https://open.spotify.com/album/7uNyF6MKaVHi5TJqIiNobm,EXO,68,2019-11-27,https://open.spotify.com/track/7fK0csBoqbcgUuWGV0cpoD,203520,False,k-pop
620,love.,0.1 flaws and all.,https://open.spotify.com/album/0kT2Dn4QknHk92h76ZcMk0,wave to earth,68,2023-04-20,https://open.spotify.com/track/5rDXfGMWI6S8wkXR0MHsvv,307750,False,k-pop
621,Circles,SEVENTEEN 4th Album Repackage 'SECTOR 17',https://open.spotify.com/album/15pRJdCJtDyzQaY9tGs750,SEVENTEEN,68,2022-07-18,https://open.spotify.com/track/6rurduYegrf5XSZrphuyF2,239613,False,k-pop
622,Rollin',Rollin',https://open.spotify.com/album/3FuZ0bCYhMcoex6KN0F360,Brave Girls,68,2017-03-07,https://open.spotify.com/track/6SQUopvuZyrWYjYayxxSXl,197746,False,k-pop
623,Home,SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN',https://open.spotify.com/album/1Or4crj0DlitdTRp36TjnT,SEVENTEEN,68,2019-01-21,https://open.spotify.com/track/5TyCTVsBsHeeutZcU2uP5s,203731,False,k-pop
624,LATATA,I am,https://open.spotify.com/album/1GtPnOiHxCnoZPCiLcKj22,(G)I-DLE,68,2018-05-02,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD,202772,False,k-pop
625,Stamp On It,Stamp On It - The 1st Mini Album,https://open.spotify.com/album/2Gxd1fr4RFHVNx6IxGr9I7,GOT the beat,68,2023-01-16,https://open.spotify.com/track/0mlxHb4jbPr1PUBUv0WHRS,232813,False,k-pop
626,Don't Go,The 1st Album 'XOXO' (Repackage),https://open.spotify.com/album/4qduCvpyBL5hGYdBvCvcDA,EXO,68,2013-08-05,https://open.spotify.com/track/1Acgi7wxVD9OF3iQnFe8Q4,214380,False,k-pop
627,Slow (with Ciara),Slow (with Ciara),https://open.spotify.com/album/3pVjFaJut000WiN2WZBtKK,Jackson Wang,68,2023-04-17,https://open.spotify.com/track/3ZrtBTReHr1xFDglmHwCX5,192181,False,k-pop
628,NUNU NANA,NUNA,https://open.spotify.com/album/6XBIkDFhDgc3PQOUEcO2fd,Jessi,68,2020-07-30,https://open.spotify.com/track/2cUzIBGMvx2BZ2Q1fzjdl1,195836,False,k-pop
629,好きだから。,好きだから。,https://open.spotify.com/album/0Yp3xThk83SwBN8yP2IaTS,『ユイカ』,68,2021-06-27,https://open.spotify.com/track/02xwA3Ej9NPetftp9V7VZ3,298663,False,j-pop
630,Butter - Megan Thee Stallion Remix,Butter (Megan Thee Stallion Remix),https://open.spotify.com/album/0ze8IhE4fLLfu5lET12g5v,BTS,68,2021-08-27,https://open.spotify.com/track/474VqnPDr0251lsQBB8sQB,164457,False,k-pop
631,Light a Flame,; [Semicolon],https://open.spotify.com/album/1EMYSiKKTSKLZrOC2nTStL,SEVENTEEN,68,2020-10-19,https://open.spotify.com/track/2QeqvHnADmf2fN5sowptuO,189586,False,k-pop
632,Growl,The 1st Album 'XOXO' (Repackage),https://open.spotify.com/album/4qduCvpyBL5hGYdBvCvcDA,EXO,68,2013-08-05,https://open.spotify.com/track/4pi0Elz7B7cLfw37J3bYm9,207053,False,k-pop
633,Celebrity,IU 5th Album 'LILAC',https://open.spotify.com/album/01dPJcwyht77brL4JQiR8R,IU,68,2021-03-25,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os,195546,False,k-pop
